19.196163,72.860308
19.195185,72.860087
19.194800,72.860044
19.194258,72.859958
19.193832,72.859808
19.193406,72.859679
19.192819,72.859336
19.191765,72.858713
19.191339,72.858477
19.190998,72.858452
19.190634,72.858430
19.190208,72.858452
19.189762,72.858516
19.189195,72.858473
19.188729,72.858559
19.188445,72.858473
19.187614,72.858452
19.186662,72.858581
19.186256,72.858581
19.185385,72.858581
19.185048,72.858538
19.184764,72.858559
19.184278,72.858516
19.183974,72.858516
19.182735,72.858452
19.182330,72.858559
19.181823,72.858516
19.181357,72.858516
19.180547,72.858516
19.180182,72.858602
19.179575,72.858664
